 NARRATIVE,S JORDAN AVE,39.1672661,-86.51619777
900736585,2007,9,4,Weekday,900,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,S JACKSON ST & W KIRKWOOD,39.166688,-86.539808
900749682,2007,10,3,Weekday,1700,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,NORTH JACKSON & WEST KIRKWOOD AVE,39.166688,-86.539808
900778072,2007,11,5,Weekday,1500,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,W KIRKWOOD AVE,39.1666769,-86.53897535
900676896,2007,5,2,Weekday,1700,Cyclist,Non-incapacitating,PEDESTRIAN ACTION,KIRKWOOD AVE & ROGERS,39.16667671,-86.53896077
900720278,2007,8,5,Weekday,1600,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,KIRKWOOD AVE & ROGERS,39.16667671,-86.53896077
900646415,2007,3,5,Weekday,1200,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,S ROGERS & W KIRKWOOD AVE,39.166672,-86.538608
900672540,2007,5,3,Weekday,1400,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,N ROGERS & W KIRKWOOD AVE,39.166672,-86.538608
900709239,2007,7,4,Weekday,1200,2-Car,Non-incapacitating,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,KIRKWOOD AVE & ROGERS ST ST,39.166672,-86.538608
900774206,2007,11,7,Weekend,1300,Pedestrian,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,5TH & ROGERS ST,39.166672,-86.538608
900783331,2007,11,7,Weekend,1300,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,KIRKWOOD AVE & ROGERS,39.166672,-86.538608
900643592,2007,3,6,Weekday,1100,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,KIRKWOOD AVE & MADISON,39.166656,-86.537296
900669912,2007,5,4,Weekday,1200,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,S MADISON & W KIRKWOOD AVE,39.166656,-86.537296
900773174,2007,11,5,Weekday,1300,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,KIRKWOOD AVE & MADISON,39.166656,-86.537296
900745270,2007,9,1,Weekday,2300,2-Car,No injury/unknown,RAN OFF ROAD RIGHT,KIRKWOOD AVE & MADISON,39.16665365,-86.53711961
900689248,2007,6,5,Weekday,1300,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,WEST KIRKWOOD AVE,39.16664404,-86.55090041
900648817,2007,3,4,Weekday,1500,2-Car,No injury/unknown,UNSAFE BACKING,KIRKWOOD AVE & WALNUT,39.16664,-86.53412923
900642499,2007,3,3,Weekday,1700,Bus,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,KIRKWOOD AVE & LINCOLN,39.16664,-86.53081559
900669687,2007,5,4,Weekday,1300,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,COLLEGE & KIRKWOOD AVE,39.16664,-86.53462359
900705723,2007,7,2,Weekday,1900,2-Car,No injury/unknown,UNSAFE BACKING,KIRKWOOD AVE & WALNUT,39.16664,-86.53395282
900713954,2007,8,4,Weekday,2300,2-Car,No injury/unknown,UNSAFE BACKING,COLLEGE & KIRKWOOD AVE,39.16664,-86.53462359
900725299,2007,8,3,Weekday,1300,Cyclist,Non-incapacitating,IMPROPER TURNING,KIRKWOOD AVE & WASHINGTON,39.16664,-86.53222359
900727399,2007,8,7,Weekend,1400,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,KIRKWOOD ST & WASHINGTON,39.16664,-86.53257641
900745424,2007,9,3,Weekday,2100,2-Car,No injury/unknown,UNSAFE BACKING,GRANT & KIRKWOOD AVE,39.16664,-86.52943138
900611702,2007,1,3,Weekday,1500,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,5TH & S GRANT ST,39.16664,-86.529696
900611704,2007,1,3,Weekday,1700,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,KIRKWWOD AVE & WASHINGTON,39.16664,-86.5324
900613132,2007,1,7,Weekend,100,2-Car,No injury/unknown,UNSAFE BACKING,COLLEGE & KIRKWOOD AVE,39.16664,-86.5348
900619053,2007,1,5,Weekday,1300,2-Car,No injury/unknown,UNSAFE BACKING,100 W KIRKWOOD AVE AVE & COLLEGE AVE,39.16664,-86.5348
900619055,2007,1,6,Weekday,100,1-Car,Non-incapacitating,VIEW OBSTRUCTED,COLLEGE AVE & KIRKWOOD,39.16664,-86.5348
900624837,2007,2,2,Weekday,1600,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,KIRKWOOD & LINCOLN ST,39.16664,-86.530992
900627280,2007,2,1,Weekend,200,3+ Cars,No injury/unknown,ALCOHOLIC BEVERAGES,KIRKWOOD & WALNUT ST,39.16664,-86.5336
900628006,2007,2,7,Weekend,2100,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,KIRKWOOD & WALNUT ST,39.16664,-86.5336
900636092,2007,2,6,Weekend,2100,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,GRANT & KIRKWOOD AVE,39.16664,-86.529696
