Location ID,Located On,Crossroad,Volume Count Start Date,AADT
q425,Hillside Drive,From S. Lincoln St. to S. Grant St.,11/12/14,8240
q425,Hillside Drive,From S. Lincoln St. to S. Grant St.,11/13/14,8240
q425,Hillside Drive,From S. Lincoln St. to S. Grant St.,11/14/14,8240
q428,Hillside Drive,From S. Henderson St. to S. Park Ave.,12/7/15,11465
q428,Hillside Drive,From S. Henderson St. to S. Park Ave.,12/8/15,11465
q428,Hillside Drive,From S. Henderson St. to S. Park Ave.,12/9/15,11465
q4331,Grimes Lane,From S. Morton St. to S. Walnut St.,10/21/14,11498
q4331,Grimes Lane,From S. Morton St. to S. Walnut St.,10/22/14,11498
q4331,Grimes Lane,From S. Morton St. to S. Walnut St.,10/23/14,11498
q4422,1st Street,From S. College Ave. to S. Walnut St.,10/27/14,3778
q4422,1st Street,From S. College Ave. to S. Walnut St.,10/28/14,3778
q4422,1st Street,From S. College Ave. to S. Walnut St.,10/29/14,3778
q4443,College Avenue,From W. 1st St. to W. 2nd St.,12/2/14,10926
q4443,College Avenue,From W. 1st St. to W. 2nd St.,12/3/14,10926
q4443,College Avenue,From W. 1st St. to W. 2nd St.,12/4/14,10926
q4446,Walnut Street,From W. 1st St. to W. 2nd St.,10/21/14,10854
q4446,Walnut Street,From W. 1st St. to W. 2nd St.,10/22/14,10854
q4446,Walnut Street,From W. 1st St. to W. 2nd St.,10/23/14,10854
q4446,Walnut Street,From W. 1st St. to W. 2nd St.,10/24/14,10854
q4467,Dunn Street,N. of 2nd St.,4/28/15,1399
q4467,Dunn Street,N. of 2nd St.,4/29/15,1399
q4467,Dunn Street,N. of 2nd St.,4/30/15,1399
q4467,Dunn Street,N. of 2nd St.,5/1/15,1399
q45100,Smith Avenue,From S. Walnut St. to S. Washington St.,9/22/15,726
q45100,Smith Avenue,From S. Walnut St. to S. Washington St.,9/23/15,726
q45100,Smith Avenue,From S. Walnut St. to S. Washington St.,9/24/15,726
q4538,Dunn Street,North of Smith Ave.,4/28/15,1447
q4538,Dunn Street,North of Smith Ave.,4/29/15,1447
q4538,Dunn Street,North of Smith Ave.,4/30/15,1447
q4538,Dunn Street,North of Smith Ave.,5/1/15,1447
q4662,10th Street,From N. College Ave. to N. Walnut St.,4/21/15,5798
q4662,10th Street,From N. College Ave. to N. Walnut St.,4/22/15,5798
q4662,10th Street,From N. College Ave. to N. Walnut St.,4/23/15,5798
q4667,10th Street,From N. Lincoln St. to N. Grant St.,12/2/14,8948
q4667,10th Street,From N. Lincoln St. to N. Grant St.,12/3/14,8948
q4667,10th Street,From N. Lincoln St. to N. Grant St.,12/4/14,8948
q4670,10th Street,Bet. N. Dunn St. and N. Indiana Ave.,4/2/13,10985
q4670,10th Street,Bet. N. Dunn St. and N. Indiana Ave.,4/3/13,10985
q4670,10th Street,Bet. N. Dunn St. and N. Indiana Ave.,4/4/13,10985
q4728,Dunn Street,From E. 14th St. to E. 15th St.,11/10/14,2956
q4728,Dunn Street,From E. 14th St. to E. 15th St.,11/11/14,2956
q4728,Dunn Street,From E. 14th St. to E. 15th St.,11/12/14,2956
q4845,College Avenue,From W. 17th St. to W. Vaughn Clipp Way,11/12/14,8567
q4845,College Avenue,From W. 17th St. to W. Vaughn Clipp Way,11/13/14,8567
q4845,College Avenue,From W. 17th St. to W. Vaughn Clipp Way,11/14/14,8567
q4921,Dunn Street,S. of Saville,11/10/14,1441
q4921,Dunn Street,S. of Saville,11/11/14,1441
q4921,Dunn Street,S. of Saville,11/12/14,1441
q5317,Old State Road 37,South of Audubon,11/2/15,4526
q5317,Old State Road 37,South of Audubon,11/3/15,4526
q5317,Old State Road 37,South of Audubon,11/4/15,4526
q533,Old State Road 37,From N. Stonemill Rd. to N. Hillview Dr.,11/2/15,4565
